feature,min,max,mean,median
dhw_per_person,0.0619107539128193,0.1989933703530995,0.13305472195048088,0.13616767174609465
floor_num,6.0,18.0,10.362068965517242,10.0
room_count,66.0,240.0,181.93103448275863,194.5
footprint_area_m2,428.3648292586206,898.9417113150503,697.7197685368163,723.8139295243375
dhw_temp,45.07993124256527,54.95620278316812,50.261144258809686,50.26095248950166
boiler_eff,0.8200104691366923,0.9498976514174045,0.8850018997971947,0.8873835617532815
orientation_cos,0.023232667515053436,0.9995013758070151,0.6086602325178111,0.6828889101666715
orientation_sin,0.03157530300541741,0.9997300851530552,0.6632135244458792,0.7305222334308022
wwr,0.2501175242450067,0.5610473012471656,0.41681433422182396,0.41527032502226824
operation_hours,2017.2919705843708,2996.660616343608,2509.318620701655,2542.5398054097022
aspect_ratio,2.001713038235146,2.994506575025374,2.5415900017941433,2.560940893300381
fresh_air_ach,0.5077400935230604,1.1977888650117166,0.8739898619750244,0.8987509157938427
cop_heating,2.2007408367772983,4.192768167361237,3.238269850391231,3.341366632772779
wall_thick,0.2009201060711602,0.2986155283132932,0.24677935376046817,0.24394193954064758
heat_set,19.00079227458254,21.95184756143352,20.425385481978836,20.233621901630386
light_power,4.029293514898151,6.949169679746621,5.457675558301471,5.317246796135175
floor_height,2.8031274511327453,3.295101059691852,3.0519098201007573,3.044643173245559
public_area,81.10905913864207,149.67036577943804,115.00329307244195,115.08842430644368
