feature,fixed_value
insul_thick,0.0859941774248837
wall_thick,0.2468601818354487
u_win_e,1.386459944647147
u_ground,0.2750446466891199
shgc_n,0.4179952611132341
shgc_s,0.3153874683597117
shgc_w,0.4548046237322474
roof_insul_thick,0.1128550121347136
aspect_ratio,2.5541193085041347
public_area,119.73168135009496
room_area,25.971194382097348
room_count,188.0
equip_power,3.389206768290232
occupancy_density,0.1522163738228683
light_power,5.856858507452106
heat_set,20.57398709028373
boiler_eff,0.8972950794077647
fan_eff,0.6323126304341427
fresh_air_ach,0.8638693283650454
window_type_2,0.0
window_type_3,0.0
