model,R2,cv_r2_mean,cv_r2_std,cv_r2_variance,RMSE,MAE,MAPE
ElasticNetCV,0.9583971416332367,0.952819266230418,0.02193167952952634,0.00048099856698584467,19.37850404114902,15.106100404912906,0.019783814423127124
RidgeCV,0.9558128536639384,0.9510703374230133,0.019275810746361696,0.00037155687992955304,19.971314015920427,15.63266364562499,0.020563229656234246
