scenario,mean_ocei,std_ocei,corr_with_baseline_ocei,eui_ocei_pearson_r,eui_ocei_pearson_p,top10_overlap_with_baseline,electricity_share,natural_gas_share,district_heating_share,district_cooling_share
Baseline,752.2491804162152,96.1320592150358,1.0,0.7774408787428448,8.695156334219609e-10,1.0,0.017573689685768817,0.026085481434680997,0.42053193397812233,0.5358088949014279
Electricity Low 0.40,748.6260846800172,95.73138257566991,0.9999892039182758,0.7768147573235497,9.151177206395891e-10,1.0,0.012842416674774907,0.02621110666783585,0.4225571763485708,0.5383893003088185
Electricity High 0.70,755.8722761524126,96.53479430045805,0.9999893828724256,0.7780452116099859,8.275279984983771e-10,1.0,0.022259826703628874,0.025961054656920265,0.4185260122694734,0.5332531063699775
Grid Decarbonisation 2030 0.40,636.641928101097,81.82347436954231,0.9999159554496276,0.7756072938016065,1.0094584071168989e-09,1.0,0.015101211742884348,0.02441287972876561,0.40653725141680586,0.5539486571115442
Grid Decarbonisation 2050 0.25,442.12392352657497,57.03326568226269,0.999691684509278,0.7759143795472645,9.846371517696062e-10,1.0,0.013590974724071194,0.026365685375555455,0.39027243481986407,0.5697709050805093
High District Thermal Factors,967.9559323952691,123.51555422473353,0.9997151934631631,0.7738092597531322,1.1669659357323129e-09,1.0,0.01365611888881055,0.020270440761926987,0.4456171430882025,0.5204562972610599
