feature,EUI_SRC,abs_EUI_SRC,EUI_CI_low,EUI_CI_high,EUI_sign_stable,OCEI_SRC,abs_OCEI_SRC,OCEI_CI_low,OCEI_CI_high,OCEI_sign_stable,delta_abs,max_abs
dhw_per_person,0.8047050946864863,0.8047050946864863,0.7255579518914644,0.8919460139260266,True,0.7008867158731288,0.7008867158731288,0.568712997694106,0.8197840789724876,True,-0.10381837881335754,0.8047050946864863
floor_num,-0.7621430474560021,0.7621430474560021,-0.9004055929071576,-0.6494569725810554,True,-0.7801702267864766,0.7801702267864766,-0.9251430031468871,-0.6429795059457234,True,0.018027179330474485,0.7801702267864766
room_count,0.7031442710789004,0.7031442710789004,0.5520203104240246,0.8617356477296069,True,0.6354583155465722,0.6354583155465722,0.4912255748247935,0.7942779329082456,True,-0.06768595553232826,0.7031442710789004
footprint_area_m2,-0.5425582106400434,0.5425582106400434,-0.6558612704096588,-0.44544083062819356,True,-0.6035032418191411,0.6035032418191411,-0.7213843396979844,-0.5012881985985981,True,0.060945031179097664,0.6035032418191411
fresh_air_ach,0.0860046564836564,0.0860046564836564,0.02419027789924128,0.14055385976347917,True,0.22660591140038636,0.22660591140038636,0.14746075209500803,0.3022549553800881,True,0.14060125491672995,0.22660591140038636
operation_hours,0.0779613926808138,0.0779613926808138,0.023886362605328157,0.1393943429255377,True,0.22316941548051716,0.22316941548051716,0.1544945472172931,0.3075418085453937,True,0.14520802279970335,0.22316941548051716
dhw_temp,0.2037013250486506,0.2037013250486506,0.12529558551806477,0.2681820469484393,True,0.1808582612716497,0.1808582612716497,0.10921823117852197,0.2496857925285565,True,-0.022843063777000905,0.2037013250486506
wwr,0.08870318694658129,0.08870318694658129,0.035885145661000456,0.14173850472474586,True,0.19686394971545837,0.19686394971545837,0.12240766324615733,0.264328730181633,True,0.10816076276887708,0.19686394971545837
boiler_eff,-0.14925482929706022,0.14925482929706022,-0.22252631243958923,-0.09169499531078322,True,-0.11030937250709853,0.11030937250709853,-0.1951496034947157,-0.033463386999350066,True,-0.03894545678996168,0.14925482929706022
floor_height,0.051529207776497936,0.051529207776497936,-0.0032269539979395234,0.10561638430058735,False,0.13931836825471727,0.13931836825471727,0.06722940063618417,0.20475254395147402,True,0.08778916047821933,0.13931836825471727
heat_set,0.047116059056720616,0.047116059056720616,-0.00929550640345882,0.08438001843584536,False,0.1353000178026667,0.1353000178026667,0.07852951528331055,0.18465166175321643,True,0.08818395874594609,0.1353000178026667
light_power,0.041743039942864976,0.041743039942864976,-0.01738016354526579,0.10131494493880606,False,0.11545097490963553,0.11545097490963553,0.03490127698214485,0.1821147366917959,True,0.07370793496677056,0.11545097490963553
u_wall,0.005504369332797299,0.005504369332797299,-0.04921311668403936,0.07975069120098555,False,0.06804327842475211,0.06804327842475211,0.02123457097055936,0.14644041764320506,True,0.06253890909195481,0.06804327842475211
cop_heating,-0.058048864809097094,0.058048864809097094,-0.1102793418978974,-0.002344883229341215,True,0.003531291756631639,0.003531291756631639,-0.06389616135116837,0.06890721293611071,False,-0.054517573052465455,0.058048864809097094
equip_power,0.017798934920814264,0.017798934920814264,-0.048595774431755105,0.0682665044058129,False,0.05566371474821299,0.05566371474821299,-0.022543027100009317,0.12449569301100158,False,0.03786477982739872,0.05566371474821299
cop_cooling,-0.00041193156120769293,0.00041193156120769293,-0.046954898324441066,0.05112521605786284,False,0.03630537210225755,0.03630537210225755,-0.017491328843094744,0.09795584757848047,False,0.035893440541049856,0.03630537210225755
aspect_ratio,0.015870167036881676,0.015870167036881676,-0.031132036991019005,0.07445533216996818,False,0.028845343858702733,0.028845343858702733,-0.01511426259070428,0.0863907478380942,False,0.012975176821821057,0.028845343858702733
shgc_s,-0.000134935580953649,0.000134935580953649,-0.05202580892640865,0.054951862246992084,False,0.02142249798206816,0.02142249798206816,-0.039762737470297925,0.07891115135991922,False,0.021287562401114513,0.02142249798206816
room_area,-0.0011940364857973233,0.0011940364857973233,-0.050139596116388796,0.05120420708945212,False,0.008052477712572153,0.008052477712572153,-0.040587759656634505,0.061257577067812805,False,0.00685844122677483,0.008052477712572153
orientation_sin,0.0010724653706130072,0.0010724653706130072,-0.05485513860320928,0.053167490159236414,False,0.0054407370731584526,0.0054407370731584526,-0.049044278892075806,0.06726907601573939,False,0.004368271702545445,0.0054407370731584526
