feature,pre_mean,post_mean,mean_shift_pct,pre_std,post_std,ks_statistic,ks_p_value,jensen_shannon_distance
room_count,138.005,184.58139534883722,33.74978830392901,59.03831457570328,36.86218384749667,0.42348837209302326,3.014029035648723e-06,0.5498271231268239
floor_num,12.995,10.395348837209303,-20.00501087180221,4.076526134668238,2.6379964879910998,0.3541860465116279,0.0001811484097741929,0.4390711074475103
cop_heating,3.2000763998200368,3.4051560460493477,6.408585940037059,0.5787940087063415,0.6084551066155683,0.19534883720930232,0.11533395694897859,0.38962348908850475
u_roof,0.32502651422903367,0.3019154510760286,-7.110516262903898,0.07236331055500712,0.06665228491146084,0.1811627906976744,0.170531149670901,0.45435136803769904
shgc_e,0.4250346495944246,0.39872600319486046,-6.189765099073286,0.1301903218921111,0.14356126656735432,0.16965116279069767,0.22919001046270882,0.4745403922457572
occupancy_density,0.16501471438639434,0.15238628856366596,-7.6529089358406965,0.04919666499428827,0.04571330308775607,0.16267441860465115,0.2710014662667883,0.4839364868311288
light_power,5.499903301623989,5.7109226122690835,3.8367821954758075,0.8682100996737856,0.8981291670900468,0.15011627906976743,0.3616125334182005,0.4686148487779892
boiler_eff,0.8850189166686769,0.8893410549194681,0.4883667647534784,0.03762492741841162,0.035048866940551815,0.14790697674418604,0.37823102365018796,0.4705018887906901
orientation_deg,45.00418035282703,40.40252635139366,-10.224947916742376,26.070547779487487,28.301419296754368,0.14686046511627907,0.3876085850017672,0.3329889133581463
insul_thick,0.0850000053030256,0.08730792232439573,2.7151963263324363,0.020263831575277783,0.019418532872395425,0.14348837209302326,0.4155067114093738,0.44458685205633436
wwr,0.42501108852854796,0.40617839611850687,-4.4311061330758905,0.10132051286978014,0.1030744290827734,0.14093023255813952,0.4365344690130701,0.46626676717538895
u_win_s,1.3998775322800492,1.4645554312612545,4.620254092932075,0.34726759171087,0.33330772508319256,0.1363953488372093,0.47809428937875104,0.44254710381218726
heat_set,20.5001446068106,20.615189346987588,0.5611898958935546,0.8678011997651528,0.8790477998903119,0.13209302325581396,0.5186261654916926,0.3880772521242227
floor_height,3.0500032608431575,3.0698033693246276,0.6491831905778511,0.14468480841404147,0.1384953518346703,0.1291860465116279,0.5456925758710809,0.4304812118363431
cop_cooling,3.9999804392445135,4.070245003495861,1.7566226965004539,0.5788501007206509,0.6390082522684855,0.1275581395348837,0.56131905813579,0.48401451738505524
public_area,115.00803744997211,118.83046081920708,3.3236141177504175,20.267386282244217,18.836145924293234,0.1263953488372093,0.5737583076018271,0.4563363026089682
fan_eff,0.6250094054728306,0.628456740026345,0.5515652281914862,0.04341556081120896,0.03713897863468583,0.12290697674418605,0.6078348468104373,0.4718042923882736
