height_stratum,footprint_stratum,n,simulated_mean_eui,measured_mean_eui,bias_kwh_m2,bias_pct,median_floor_num,median_footprint_m2
Low-rise (<=8 floors),Small footprint,2,1517.2968519601022,123.03,1394.2668519601023,1133.2738778835262,7.0,573.2706993433105
Low-rise (<=8 floors),Medium footprint,3,1153.2626810678796,123.03,1030.2326810678796,837.3833057529705,8.0,693.4200783146179
Low-rise (<=8 floors),Large footprint,5,1289.984797585439,123.03,1166.954797585439,948.5123933881484,7.0,865.1619127137795
Mid/high-rise (9-15 floors),Small footprint,12,1155.6001838606583,123.03,1032.5701838606583,839.2832511262768,11.5,570.510974902673
Mid/high-rise (9-15 floors),Medium footprint,9,1227.8944226117903,123.03,1104.8644226117904,898.044722922694,10.0,675.2349037095651
Mid/high-rise (9-15 floors),Large footprint,9,1119.6340171394468,123.03,996.6040171394468,810.0495953340217,9.0,860.0319307009602
High-rise (>15 floors),Small footprint,1,1535.9606538343955,123.03,1412.9306538343956,1148.444000515643,16.0,590.0965010532751
High-rise (>15 floors),Medium footprint,2,992.5348527889917,123.03,869.5048527889917,706.7421383312945,17.0,704.9768563024022
