group,n_features,sum_abs_SRC,mean_abs_SRC,n_sign_stable
Geometry_Form,6,1.6506226874836816,0.27510378124728024,3
Operation_HVAC,13,1.5197498152845836,0.11690383194496798,4
Program_Zoning,3,0.7318064749359862,0.2439354916453287,1
Envelope,17,0.38705378852441896,0.022767869913201115,1
