feature,SRC,abs_SRC,CI_low,CI_high,sign_stable,rank_abs,is_top18,feature_full
dhw_per_person,0.8190921536827808,0.8190921536827808,0.7063024048143924,0.9223278683513074,True,1.0,True,Daily domestic hot water consumption per capita (m³/(person·d))
floor_num,-0.7615337363616942,0.7615337363616942,-0.9612732914823725,-0.6364961725650805,True,2.0,True,Total number of floors (floors)
room_count,0.6956922170952088,0.6956922170952088,0.5484562944793497,0.845831140675122,True,3.0,True,Total number of guest rooms (rooms)
footprint_area_m2,-0.5268431938621109,0.5268431938621109,-0.6456871189744108,-0.4319048814999036,True,4.0,True,Building footprint area = main building length × main building width (m²)
dhw_temp,0.1941996163830196,0.1941996163830196,0.11298270717235986,0.272300665150703,True,5.0,True,Domestic hot water supply temperature (°C)
boiler_eff,-0.13557529364371473,0.13557529364371473,-0.20775445652426747,-0.049924788202424374,True,6.0,True,Thermal efficiency of hot water boiler (-)
orientation_cos,-0.1260309099925617,0.1260309099925617,-0.3007130588819474,0.047036595820577065,False,7.0,True,Cosine term of overall building orientation (-)
orientation_sin,-0.11980142604228754,0.11980142604228754,-0.2973417524107776,0.05783853444615584,False,8.0,True,Sine term of overall building orientation (-)
wwr,0.10646391505073913,0.10646391505073913,0.046882610528664305,0.1747749188350795,True,9.0,True,Overall window-to-wall ratio (-)
operation_hours,0.08086636364530135,0.08086636364530135,0.0066577604075901235,0.17511853447285436,True,10.0,True,Total annual operating hours of system (h)
aspect_ratio,0.07163104074208569,0.07163104074208569,0.004256113485584953,0.14687679856434355,True,11.0,True,Building length-to-width ratio (-)
fresh_air_ach,0.06832068299376218,0.06832068299376218,-0.012175127085318066,0.14675895864485838,False,12.0,True,Fresh air exchange rate (times/h)
cop_heating,-0.062501931835758,0.062501931835758,-0.14061100153131778,0.015368210045065795,False,13.0,True,COP of heat pump heating (-)
wall_thick,-0.04904873690659222,0.04904873690659222,-0.10464922825401252,0.02847849135268128,False,14.0,True,External wall structure thickness (m)
heat_set,0.04869078092225298,0.04869078092225298,-0.009973606946292053,0.11491101825108296,False,15.0,True,Winter heating set temperature (°C)
light_power,0.045474704927035044,0.045474704927035044,-0.027015369909091053,0.11497918766521924,False,16.0,True,Indoor lighting power density (W/m²)
floor_height,0.044782380482941746,0.044782380482941746,-0.036156812644408245,0.1260414179586293,False,17.0,True,Standard floor height (m)
public_area,-0.036062721257329164,0.036062721257329164,-0.1340621116960401,0.03578103724439398,False,18.0,True,Total area of public areas (m²)
u_win_n,0.02954060448689507,0.02954060448689507,-0.03502651831217589,0.08351210753497423,False,19.0,False,Heat transfer coefficient of north-facing windows (W/(m²·K))
u_win_s,0.029243107334785867,0.029243107334785867,-0.022153322336322473,0.09914935512728901,False,20.0,False,Heat transfer coefficient of south-facing windows (W/(m²·K))
roof_insul_thick,0.02408917572907318,0.02408917572907318,-0.0342336714860615,0.10549301285174992,False,21.0,False,Roof insulation layer thickness (m)
occupancy_density,0.023323936910535033,0.023323936910535033,-0.05137556485072064,0.1063273233912765,False,22.0,False,Personnel density (person/m²)
equip_power,0.022117989949432107,0.022117989949432107,-0.05806913606434512,0.09467999536727277,False,23.0,False,Indoor equipment power density (W/m²)
u_win_e,-0.021393419136808374,0.021393419136808374,-0.09692811756708147,0.03628852957129759,False,24.0,False,Heat transfer coefficient of east-facing windows (W/(m²·K))
shgc_w,-0.018202478776794883,0.018202478776794883,-0.08983612230528752,0.05085078505967668,False,25.0,False,Solar heat gain coefficient of west-facing windows (-)
window_type_2,-0.015479237261939735,0.015479237261939735,-0.09320765783367019,0.05978167544910625,False,26.0,False,Window construction type dummy: Type 2 relative to Type 1 baseline (-)
u_ground,-0.014443213526529216,0.014443213526529216,-0.0800007861719436,0.04317525037298361,False,27.0,False,Heat transfer coefficient of ground foundation (W/(m²·K))
shgc_e,-0.014180610932275147,0.014180610932275147,-0.0894956951109137,0.04755427223672971,False,28.0,False,Solar heat gain coefficient of east-facing windows (-)
u_wall,-0.01322702472467593,0.01322702472467593,-0.08732391011911202,0.06972842897003996,False,29.0,False,Heat transfer coefficient of main external wall structure (W/(m²·K))
u_win_w,-0.012262630778860532,0.012262630778860532,-0.06020685856607162,0.06110956211173642,False,30.0,False,Heat transfer coefficient of west-facing windows (W/(m²·K))
window_type_3,0.011743962488569936,0.011743962488569936,-0.0635142446858077,0.08716460356250393,False,31.0,False,Window construction type dummy: Type 3 relative to Type 1 baseline (-)
shgc_n,-0.00943437230161564,0.00943437230161564,-0.08789079079439463,0.06886583355981496,False,32.0,False,Solar heat gain coefficient of north-facing windows (-)
u_roof,-0.009383859992916684,0.009383859992916684,-0.0790384544467936,0.07890684394807596,False,33.0,False,Heat transfer coefficient of roof (W/(m²·K))
cop_cooling,0.008295954683076704,0.008295954683076704,-0.05768244371051113,0.07477559618574106,False,34.0,False,Rated COP of refrigeration unit (-)
fan_eff,-0.007161329339516612,0.007161329339516612,-0.07626802337383728,0.07663577459782296,False,35.0,False,Efficiency of air conditioning fan (-)
insul_thick,-0.005240712270573048,0.005240712270573048,-0.07204381581180927,0.06340207493477255,False,36.0,False,External wall insulation layer thickness (m)
cool_set,0.004129076368398564,0.004129076368398564,-0.04175664193113522,0.07546271596624747,False,37.0,False,Summer cooling set temperature (°C)
shgc_s,-0.003676726824774395,0.003676726824774395,-0.07766321998915907,0.06045084898811747,False,38.0,False,Solar heat gain coefficient of south-facing windows (-)
room_area,-5.1536583448218466e-05,5.1536583448218466e-05,-0.09307141207234723,0.06689258432142564,False,39.0,False,Floor area of a single guest room (m²)
