feature,SRC_EUI,SRC_site_energy
operation_hours,0.5338107022078726,0.2137312754345193
cop_cooling,-0.5281931832795392,-0.4445399318172349
cop_heating,-0.3684697084441846,-0.1349913425129316
dhw_per_person,0.24486962216834926,0.24524615405575872
orientation_sin,-0.22086399681461652,-0.18425576886059092
wwr,0.20182979142670293,-0.04235833825078219
floor_num,-0.19002615413450044,0.6948107452563838
orientation_cos,-0.1845246122679343,-0.1865214756099
shgc_e,0.16958630478024592,0.1659876605547323
u_wall,0.16783145318589504,0.1578147727123824
u_win_w,0.1373561306488512,0.2059929559745573
u_roof,0.13637784389084465,0.10426318707908204
footprint_area_m2,-0.13411748034046816,0.633607442305445
cool_set,-0.125594988263388,-0.1251360439945807
u_win_s,0.11559631749916784,0.06334871585891678
u_win_n,0.11431202097296715,0.2784522986931571
dhw_temp,0.10215521832399753,0.07702354964390447
floor_height,0.09068258320035781,0.08721793905837025
aspect_ratio,-0.08608724928158791,-0.27916012703484655
window_type_3,-0.076559696341482,-0.019133499006703386
fresh_air_ach,0.07652716903492562,0.1286079164574774
boiler_eff,-0.07428984601838727,-0.01619088718767448
shgc_s,0.0633764310493769,-0.12486498370592933
fan_eff,0.06260459277427362,0.07506241184735037
wall_thick,-0.062398520766850166,-0.09488281507784554
heat_set,0.05633246923520066,0.07730181933551053
insul_thick,0.052910422860551046,0.1818083080814988
roof_insul_thick,-0.043250061312572786,-0.10309233657846664
room_area,0.041042153803329796,0.054283675240808696
u_ground,0.04017819463447852,0.028993238979161482
light_power,-0.03770252583733907,-0.008309992053808526
equip_power,0.03519046953862978,0.08562575323783175
shgc_w,-0.024310092120021897,-0.0825001398665193
window_type_2,0.021133073643462032,0.0065231639726495245
occupancy_density,-0.020041130657328453,0.01226728534231842
room_count,0.01767416960804546,-0.16588579068565926
u_win_e,0.015191233059188089,-0.01751345504911917
shgc_n,-0.01232458481313334,-0.04980246490081809
public_area,0.007782002828599637,0.09702950701193988
