insul_thick,wwr,wall_thick,u_win_n,u_win_s,u_win_e,u_win_w,u_wall,u_roof,u_ground,shgc_n,shgc_s,shgc_e,shgc_w,window_type_id,roof_insul_thick,floor_num,public_area,room_area,room_count,building_length,building_width,aspect_ratio,floor_height,orientation_deg,equip_power,dhw_per_person,occupancy_density,light_power,cool_set,heat_set,dhw_temp,cop_cooling,cop_heating,boiler_eff,fan_eff,fresh_air_ach,operation_hours,sample_id,source_lhs_index,gross_floor_area_m2,footprint_area_m2,building_height_m,building_volume_m3,guestroom_total_area_m2,usable_area_m2,usable_area_ratio,geometry_feasible,estimated_people,daily_operation_hours,schedule_on_fraction,wall_R_m2K_W,roof_R_m2K_W,floor_R_m2K_W,glass_vt,ideal_cooling_supply_kwh,ideal_heating_supply_kwh,ideal_cooling_zone_kwh,ideal_heating_zone_kwh,ideal_cooling_load_kwh,ideal_heating_load_kwh,cooling_electricity_kwh,heating_electricity_kwh,lighting_electricity_kwh,equipment_electricity_kwh,fan_electricity_kwh,electricity_kwh,dhw_thermal_kwh,natural_gas_kwh,site_energy_kwh,eui_kwh_m2
0.11222058172783218,0.2873278255093056,0.28678142404056384,1.7310039308236531,1.3117984093879866,1.9381258001517079,0.8430064411916288,0.3962868980168838,0.3345156520262123,0.31713958987008717,0.22321438511605632,0.44982530939548837,0.480800206544431,0.41373343489306025,2,0.09341730220019279,13,126.6267448391423,22.901643368978466,209,40.16451522514043,16.250029520988075,2.4716579851910474,3.028822259484642,52.395643752083465,3.86676250856938,0.1008556971759996,0.1177794575094407,5.971611892588818,24.796960499019374,20.25953773248148,53.32816413053838,4.587854153271804,3.8059147135627542,0.8935452880023756,0.645824545385601,0.8182959404040883,2628.5930805398903,sample_0002,1,8484.76925536119,652.674558104707,39.37468937330035,25698.857987228905,4786.443464116499,4913.070208955642,0.5790458244755763,True,334.40000000000003,7.20162487819148,0.3000677032579783,2.3534243297071984,2.849396741057847,2.983185637938295,0.55,20485163.510717142,12712808.586600864,20485163.510717142,12712808.586600864,20485163.510717142,12712808.586600864,4465086.035071158,3340276.7910950584,133184.89440476577,86240.42648037184,14265.328735016772,8039053.475786371,548623.3780485216,613984.971343795,8653038.447130166,1019.8319113584206
0.0675498497495571,0.44869010111021135,0.22280745525194984,1.7741626203725773,1.986401220094995,0.9611613895342763,1.2711327363558576,0.2598535542363641,0.25095928757433894,0.2045406102373561,0.577175616987891,0.24084063054448435,0.2868962058206144,0.3154570774727241,2,0.08666789972564963,11,119.73168135009497,27.466865551799813,196,48.51135796334198,18.0,2.4559780408602645,2.8736681943098357,88.81518706682958,2.9178388328936316,0.14278557478638282,0.11212795609584314,5.4745780280677225,24.15139280931674,21.503018457440476,50.71928101297291,3.4990490425177008,4.022742843717286,0.8972950794077647,0.6400480451329745,1.0350190722448676,2740.2055987704543,sample_0009,8,9605.248876741713,873.2044433401556,31.610350137408194,27602.298195522933,5383.505648152764,5503.237329502858,0.5729406286211361,True,313.6,7.507412599371108,0.3128088583071295,3.678321424498951,3.844710068575489,4.7190046765753015,0.55,27793419.826019716,14781888.765852695,27793419.826019716,14781888.765852695,27793419.826019716,14781888.765852695,7943135.259979459,3674579.594104313,144092.84675243526,76798.5590196881,20385.10343592508,11858991.36329182,678816.9597491826,756514.7467399657,12615506.110031785,1313.3971094261965
0.06337439872230492,0.3137889973287006,0.20728429090241007,1.5462439251143536,1.9378360559932983,1.9729235645323595,1.7735797658691066,0.4428123920615098,0.282598678503381,0.2206204588435211,0.3023293809918337,0.3315001619865452,0.5570424859435755,0.49061588968472364,2,0.10690945014648265,11,104.20530237613619,23.837777283323724,230,47.424940246962386,16.562280697193938,2.86343053315099,3.160643268583187,62.54339272039796,3.153796199316095,0.1119004163834978,0.15023357766278717,6.33769580651409,24.55399159592055,21.398204911662027,45.681754031946085,4.43041570819099,4.000045355274164,0.9013981318206195,0.5655167788675595,1.0400931723279188,2126.47296817258,sample_0014,13,8640.116896596252,785.465172417841,34.767075954415056,27308.3273089988,5482.688775164456,5586.894077540593,0.6466225103669064,True,368.0,5.825953337459123,0.24274805572746347,2.0882927170229078,3.398586964722965,4.3626712003136,0.55,18023292.94914818,11043975.644433847,18023292.94914818,11043975.644433847,18023292.94914818,11043975.644433847,4068081.6736512026,2760962.6050544847,116442.32675305245,57944.618795973634,17800.42886876113,7021231.653123475,536227.7595735196,594884.4807238077,7616116.133847282,881.4829966996891
0.11872791090726686,0.539899238190837,0.25128980911424736,1.8022447443629324,1.2574882212705505,1.2887548601783303,0.810292754749329,0.4400332588033743,0.3272061286038992,0.3683433215868541,0.5737046041675484,0.2955880724308937,0.39407978461380955,0.3741708242131315,1,0.14744521584796982,10,134.83712767849096,26.233782337436665,216,45.02875648000624,15.105048757634519,2.981040127874293,3.2955404397265604,64.15272618363711,3.7864280701855995,0.1909037087757455,0.16867659214456782,4.767780423353232,25.370974460307806,19.37818615245656,47.19074103275232,4.694378292662624,4.118981058426854,0.8429756006177334,0.6655334879288591,1.1877054377749494,2117.835137535661,sample_0019,18,6801.615621261454,680.1615621261454,32.9554043972656,22414.999335343015,5666.496984886319,5801.33411256481,0.8529347195731228,True,345.6,5.802288048042907,0.2417620020017878,2.1025554943719444,2.9161774752408576,2.544858506710304,0.65,16011775.430093018,8224411.964659217,16011775.430093018,8224411.964659217,16011775.430093018,8224411.964659217,3410840.4631811706,1996710.314516555,68678.44930905444,54542.36252300592,14119.472157960432,5544891.061687747,901381.5439126376,1069285.449367816,6614176.511055563,972.4419725190045
0.07448745503700364,0.5160703945859239,0.2404484986579349,1.243753525440171,1.5245236003309703,1.1356068173964897,0.8812692929455295,0.27333075854654293,0.24960928756371428,0.1724362993967814,0.35274889917143926,0.4107693695275126,0.2628638109856403,0.3086790731173777,1,0.09144427495092572,7,134.4541866284258,28.15993357169301,134,48.210292657719435,18.0,2.0924591632209357,2.8362762449837318,0.300107627545213,2.9542650473489016,0.1903535932037314,0.20423497684971725,4.611094771848771,24.886775095590323,20.451362757204574,50.676006829972444,4.453167416423412,4.087717471245366,0.8984350217676643,0.6715522115368081,0.8288300074855357,2717.6961519738024,sample_0020,19,6074.496874872649,867.7852678389498,19.85393371488612,17228.95118642921,3773.4310986068635,3907.8852852352893,0.6433265776134287,True,214.4,7.4457428821200065,0.3102392867550003,3.488571048928324,3.866261184270813,5.6292429871100875,0.65,17640716.797358356,8653871.858957293,17640716.797358356,8653871.858957293,17640716.797358356,8653871.858957293,3961386.390347436,2117042.55977378,76122.88875591484,48770.88862449508,9631.505392530482,6212954.232894157,617947.6518346844,687804.5010076265,6900758.733901784,1136.0214477098496
0.06374824061320822,0.3796967505951459,0.20230268505592497,1.980085205068402,1.2103475532266106,1.3425140637575117,1.3855451601342512,0.5755951194213638,0.2700807732880419,0.29816544967921677,0.5348073300933112,0.38327849252139623,0.36561325928916555,0.629455005440691,2,0.10881040327431221,7,84.91578556285047,24.910256130185655,221,47.91848715777498,18.0,2.2386094332156428,3.0269947797458863,34.56640523930801,2.976084907739751,0.09607210835112726,0.19027947613612362,6.849322403245159,24.56518508659674,21.295610014785467,54.36737403996237,3.775044934433714,3.5288930792597037,0.8913359164111427,0.6375289195378191,1.0818231875658746,2905.616446013677,sample_0024,23,6037.729381879648,862.5327688399497,21.188963458221203,18276.17532046805,5505.16660477103,5590.08239033388,0.9258583876102098,True,353.6,7.960593002777197,0.33169137511571656,1.5673323126945264,3.562596033866865,3.183842643659272,0.55,18076373.375603,10318379.383115117,18076373.375603,10318379.383115117,18076373.375603,10318379.383115117,4788386.281371403,2923970.534488316,120159.89435107762,52210.42711092324,15018.57563098974,7899745.712952709,567591.146099249,636787.0245648653,8536532.737517575,1413.8647490789008
0.11666420236199926,0.594315288793235,0.2553776017492249,1.8730324756228884,1.3163598859351548,1.2566720670283664,1.4493358477200338,0.32007643081645876,0.3768867401056102,0.19183781791727186,0.32254272196945155,0.4257067961441279,0.31445355162599287,0.4742172563310458,3,0.08158128923414477,11,145.74274809280146,23.9778233379184,202,45.556011154540506,18.0,2.004405233446299,3.202707878980927,41.25531015383295,3.0654390309106407,0.12897449010760753,0.1527596164415415,4.787021708629809,24.418127610553846,21.070170941522207,51.409084606564804,3.3525838536726846,3.4153124070298606,0.9063506298706179,0.5635595006062949,0.8873051452641639,2414.7494665515155,sample_0026,25,9020.09020859902,820.0082007817291,35.2297866687902,28888.713980198794,4843.520314259517,4989.263062352319,0.553127845395156,True,323.20000000000005,6.615751963154837,0.2756563317981182,2.9542537835390617,2.5133170143364096,5.0427365232607055,0.45,25706348.829104383,12144203.945994444,25706348.829104383,12144203.945994444,25706348.829104383,12144203.945994444,7667622.929384338,3555810.5668452443,104267.35498042709,66769.11847519125,18305.528071397992,11412775.497756599,644131.4725148391,710686.8482088321,12123462.34596543,1344.0511198444453
0.07683983763350247,0.45201283351016736,0.26216167380874517,1.6276035247344838,1.4839935952098635,1.4647263371669554,0.9266329310136874,0.7569727004011215,0.33853504956007874,0.2726371700477205,0.2934425991343535,0.3006548853041517,0.6231450306263541,0.5531161549425876,3,0.08329498003619584,11,93.41216554677686,26.91143630842653,227,49.759476113026935,18.0,2.5541193085041347,2.9296632699376914,0.9628731512014765,3.0300970209730202,0.13254746891943722,0.16750302015192395,5.629639455647469,24.337351928226784,20.550842723989874,46.93973048511638,4.921116345469372,3.980703333790805,0.8225351098128351,0.6444194477827836,0.5660963574666116,2081.9021537184485,sample_0033,32,9852.376270379333,895.6705700344849,32.226295969314606,28864.144880936034,6108.896042012822,6202.308207559599,0.6295240901635601,True,363.20000000000005,5.703841517036845,0.23766006320986854,1.1510516039351193,2.813903890600058,3.4978784474800966,0.45,22054756.819958024,12306772.06121042,22054756.819958024,12306772.06121042,22054756.819958024,12306772.06121042,4481657.264669783,3091607.4445293415,115473.3820383588,62152.39069441769,8798.111911333912,7759688.593843236,652586.5426138666,793384.4219274243,8553073.01577066,868.1228549385633
0.11050731086252663,0.32375833094362205,0.24262286424253104,1.2450811468505718,1.5948436368386838,0.9260199367308851,1.519734949382335,0.5128965213484882,0.20584507916382797,0.3713141931266092,0.32020206284338043,0.4189922612931941,0.38861673231426835,0.600548073176224,2,0.10712721477330528,8,148.816743673574,24.5440989990178,233,49.31539605420892,18.0,2.0640339583877743,3.1697417913022323,17.16023492715104,3.575580016254044,0.18084892904593047,0.09750263102923828,4.57852721494469,25.163668508178553,21.416098459127667,54.153361019017154,4.996085080204693,2.2067073754040223,0.8879568197748795,0.6643240493271786,0.5928836373099259,2026.7062329509165,sample_0034,33,7101.417031806084,887.6771289757605,25.35793433041786,22509.6583431812,5718.775066771147,5867.591810444721,0.8262564758786504,True,372.8,5.5526198163038805,0.23135915901266169,1.7797110204039555,4.718022373243715,2.5231370211830932,0.55,13604971.237037404,8277745.073539887,13604971.237037404,8277745.073539887,13604971.237037404,8277745.073539887,2723126.411706343,3751174.7891014903,65896.38957951806,51461.48590200362,6785.751414727974,6598444.827704083,1120341.6496762435,1261707.3541484594,7860152.181852543,1106.8427817502068
0.06520596034181708,0.2546887477932854,0.23182713459711868,1.0737284432746417,1.8554321613905038,1.6030036242055163,1.3176613171871276,0.4551799840433143,0.21473182628429982,0.32929665948678144,0.5178000360294348,0.4096782220470683,0.23188972276567157,0.35766311406584367,1,0.08501586831935296,7,93.66906803814233,26.664300610629404,107,38.85657668564373,13.828911621051759,2.809807290003383,3.235798952985825,59.59679939377563,3.8273010067209547,0.14837957802714435,0.23142567646349116,6.347553737763411,25.775342425596428,19.35991790336748,54.21066751437532,3.036692839332539,2.8412123638021747,0.9003575106180872,0.6568261915670269,0.7790538037413024,2839.1970584370756,sample_0035,34,3761.409154176712,537.3441648823874,22.650592670900775,12171.163802836301,2853.080165337346,2946.7492333754885,0.7834162976137239,True,171.20000000000002,7.778622077909796,0.3241092532462415,2.026933158433525,4.516971522591271,2.8667754156951655,0.65,9282765.426293356,5996687.952499232,9282765.426293356,5996687.952499232,9282765.426293356,5996687.952499232,3056866.7683668975,2110608.847440861,67787.94990041932,40873.208737708315,6831.143103311613,5282967.9175491985,422738.41564384283,469522.84027001314,5752490.757819212,1529.344594546855
